,x,
esophagus_cancer_20A041506,esophagus,
esophagus_cancer_20A041507,esophagus,
esophagus_cancer_20A041510,esophagus,
esophagus_cancer_20A041511,esophagus,
esophagus_cancer_20A041513,esophagus,
esophagus_cancer_20A041514,esophagus,
esophagus_cancer_20A041515,esophagus,
esophagus_cancer_20A041516,esophagus,
esophagus_cancer_20A041517,esophagus,
esophagus_cancer_20A041518,esophagus,
esophagus_cancer_20A041519,esophagus,
esophagus_cancer_20A041531,esophagus,
esophagus_cancer_20A041532,esophagus,
esophagus_cancer_20A041533,esophagus,
esophagus_cancer_20A041534,esophagus,
esophagus_cancer_20A041535,esophagus,
esophagus_cancer_20A041536,esophagus,
esophagus_cancer_20A041537,esophagus,
esophagus_cancer_20A041538,esophagus,
esophagus_cancer_20A041602,esophagus,
esophagus_cancer_20A041614,esophagus,
esophagus_cancer_20A041615,esophagus,
esophagus_cancer_20A041616,esophagus,
esophagus_cancer_20A041617,esophagus,
esophagus_cancer_20A041619,esophagus,
esophagus_cancer_20A041620,esophagus,
esophagus_cancer_20A041621,esophagus,
esophagus_cancer_20A041622,esophagus,
head_neck_tumor_20A042135,head,20A042135
head_neck_tumor_20A042144,head,20A042144
head_neck_tumor_20A042145,head,20A042145
head_neck_tumor_20A042146,head,20A042146
head_neck_tumor_20A042148,head,20A042148
head_neck_tumor_20A042149,head,20A042149
head_neck_tumor_20A042150,head,20A042150
head_neck_tumor_20A042165,head,20A042165
head_neck_tumor_20A042188,head,20A042188
head_neck_tumor_20A042190,head,20A042190
head_neck_tumor_20A042192,head,20A042192
head_neck_tumor_20A042193,head,20A042193
head_neck_tumor_20A042197,head,20A042197
head_neck_tumor_20A042200,head,20A042200
head_neck_tumor_20A042203,head,20A042203
head_neck_tumor_20A042230,head,20A042230
head_neck_tumor_20A042247,head,20A042247
head_neck_tumor_20A042253,head,20A042253
head_neck_tumor_20A042263,head,20A042263
head_neck_tumor_20A042272,head,20A042272
head_neck_tumor_20A042307,head,20A042307
head_neck_tumor_20A042309,head,20A042309
head_neck_tumor_20A042333,head,20A042333
head_neck_tumor_20A042387,head,20A042387
head_neck_tumor_20A042404,head,20A042404
head_neck_tumor_20A042415,head,20A042415
head_neck_tumor_20A042429,head,20A042429
head_neck_tumor_20A042453,head,20A042453
head_neck_tumor_20A042467,head,20A042467
head_neck_tumor_20A042470,head,20A042470
head_neck_tumor_20A042471,head,20A042471
head_neck_tumor_20A042489,head,20A042489
head_neck_tumor_20A042512,head,20A042512
head_neck_tumor_20A042514,head,20A042514
head_neck_tumor_20A042515,head,20A042515
head_neck_tumor_20A042521,head,20A042521
head_neck_tumor_20A042528,head,20A042528
head_neck_tumor_20A042541,head,20A042541
head_neck_tumor_20A042548,head,20A042548
head_neck_tumor_20A042550,head,20A042550
head_neck_tumor_20A042557,head,20A042557
head_neck_tumor_20A042559,head,20A042559
head_neck_tumor_20A042566,head,20A042566
head_neck_tumor_20A042583,head,20A042583
head_neck_tumor_20A042584,head,20A042584
head_neck_tumor_20A042585,head,20A042585
head_neck_tumor_20A042592,head,20A042592
head_neck_tumor_20A042603,head,20A042603
head_neck_tumor_20A042607,head,20A042607
intestinal_cancer_20A042126,intestinal,
intestinal_cancer_20A042128,intestinal,
intestinal_cancer_20A042166,intestinal,
intestinal_cancer_20A042169,intestinal,
intestinal_cancer_20A042170,intestinal,
intestinal_cancer_20A042171,intestinal,
intestinal_cancer_20A042174,intestinal,
intestinal_cancer_20A042179,intestinal,
intestinal_cancer_20A042184,intestinal,
intestinal_cancer_20A042189,intestinal,
intestinal_cancer_20A042205,intestinal,
intestinal_cancer_20A042301,intestinal,
intestinal_cancer_20A042302,intestinal,
intestinal_cancer_20A042306,intestinal,
intestinal_cancer_20A042308,intestinal,
intestinal_cancer_20A042321,intestinal,
intestinal_cancer_20A042334,intestinal,
intestinal_cancer_20A042344,intestinal,
intestinal_cancer_20A042346,intestinal,
intestinal_cancer_20A042362,intestinal,
intestinal_cancer_20A042365,intestinal,
intestinal_cancer_20A042378,intestinal,
intestinal_cancer_20A042380,intestinal,
intestinal_cancer_20A042382,intestinal,
intestinal_cancer_20A042383,intestinal,
intestinal_cancer_20A042386,intestinal,
intestinal_cancer_20A042390,intestinal,
intestinal_cancer_20A042405,intestinal,
intestinal_cancer_20A042409,intestinal,
intestinal_cancer_20A042425,intestinal,
intestinal_cancer_20A042426,intestinal,
intestinal_cancer_20A042427,intestinal,
intestinal_cancer_20A042432,intestinal,
intestinal_cancer_20A042433,intestinal,
intestinal_cancer_20A042439,intestinal,
intestinal_cancer_20A042441,intestinal,
intestinal_cancer_20A042443,intestinal,
intestinal_cancer_20A042445,intestinal,
intestinal_cancer_20A042451,intestinal,
intestinal_cancer_20A042458,intestinal,
intestinal_cancer_20A042464,intestinal,
intestinal_cancer_20A042475,intestinal,
intestinal_cancer_20A042478,intestinal,
intestinal_cancer_20A042481,intestinal,
intestinal_cancer_20A042482,intestinal,
intestinal_cancer_20A042483,intestinal,
intestinal_cancer_20A042486,intestinal,
intestinal_cancer_20A042490,intestinal,
intestinal_cancer_20A042498,intestinal,
intestinal_cancer_20A042504,intestinal,
intestinal_cancer_20A042509,intestinal,
intestinal_cancer_20A042536,intestinal,
intestinal_cancer_20A042544,intestinal,
intestinal_cancer_20A042545,intestinal,
intestinal_cancer_20A042588,intestinal,
intestinal_cancer_20A042589,intestinal,
intestinal_cancer_20A042613,intestinal,
liver_cancer_20A041524,liver,
liver_cancer_20A041525,liver,
liver_cancer_20A041526,liver,
liver_cancer_20A041527,liver,
liver_cancer_20A041528,liver,
liver_cancer_20A041530,liver,
liver_cancer_20A041540,liver,
liver_cancer_20A041541,liver,
liver_cancer_20A041542,liver,
liver_cancer_20A041543,liver,
liver_cancer_20A041544,liver,
liver_cancer_20A041545,liver,
liver_cancer_20A041546,liver,
liver_cancer_20A041547,liver,
liver_cancer_20A041549,liver,
liver_cancer_20A041550,liver,
liver_cancer_20A041551,liver,
liver_cancer_20A041552,liver,
liver_cancer_20A041555,liver,
liver_cancer_20A041556,liver,
liver_cancer_20A041557,liver,
liver_cancer_20A041558,liver,
liver_cancer_20A041559,liver,
liver_cancer_20A041560,liver,
liver_cancer_20A041561,liver,
liver_cancer_20A041562,liver,
liver_cancer_20A041563,liver,
liver_cancer_20A041564,liver,
liver_cancer_20A041565,liver,
liver_cancer_20A041566,liver,
liver_cancer_20A041567,liver,
liver_cancer_20A041568,liver,
liver_cancer_20A041569,liver,
liver_cancer_20A041570,liver,
liver_cancer_20A041571,liver,
liver_cancer_20A041572,liver,
liver_cancer_20A041573,liver,
liver_cancer_20A041574,liver,
liver_cancer_20A041575,liver,
liver_cancer_20A041576,liver,
liver_cancer_20A041577,liver,
liver_cancer_20A041578,liver,
liver_cancer_20A041579,liver,
liver_cancer_20A041580,liver,
liver_cancer_20A041581,liver,
liver_cancer_20A041582,liver,
lung_cancer_20A042129,lung,
lung_cancer_20A042131,lung,
lung_cancer_20A042138,lung,
lung_cancer_20A042139,lung,
lung_cancer_20A042143,lung,
lung_cancer_20A042154,lung,
lung_cancer_20A042155,lung,
lung_cancer_20A042156,lung,
lung_cancer_20A042159,lung,
lung_cancer_20A042160,lung,
lung_cancer_20A042161,lung,
lung_cancer_20A042162,lung,
lung_cancer_20A042163,lung,
lung_cancer_20A042164,lung,
lung_cancer_20A042176,lung,
lung_cancer_20A042180,lung,
lung_cancer_20A042181,lung,
lung_cancer_20A042182,lung,
lung_cancer_20A042185,lung,
lung_cancer_20A042186,lung,
lung_cancer_20A042187,lung,
lung_cancer_20A042194,lung,
lung_cancer_20A042195,lung,
lung_cancer_20A042202,lung,
lung_cancer_20A042210,lung,
lung_cancer_20A042215,lung,
lung_cancer_20A042218,lung,
lung_cancer_20A042221,lung,
lung_cancer_20A042222,lung,
lung_cancer_20A042223,lung,
lung_cancer_20A042226,lung,
lung_cancer_20A042227,lung,
lung_cancer_20A042237,lung,
lung_cancer_20A042239,lung,
lung_cancer_20A042259,lung,
lung_cancer_20A042271,lung,
lung_cancer_20A042289,lung,
lung_cancer_20A042294,lung,
lung_cancer_20A042298,lung,
lung_cancer_20A042299,lung,
lung_cancer_20A042363,lung,
lung_cancer_20A042413,lung,
lung_cancer_20A042418,lung,
lung_cancer_20A042440,lung,
lung_cancer_20A042469,lung,
lung_cancer_20A042474,lung,
lung_cancer_20A042487,lung,
lung_cancer_20A042501,lung,
lung_cancer_20A042516,lung,
lung_cancer_20A042527,lung,
lung_cancer_20A042529,lung,
lung_cancer_20A042534,lung,
lung_cancer_20A042558,lung,
lung_cancer_20A042574,lung,
lung_cancer_20A042605,lung,
lung_cancer_20A042618,lung,
lung_cancer_20A042624,lung,
ovarian_cancer_20A042167,ovarian,
ovarian_cancer_20A042168,ovarian,
ovarian_cancer_20A042175,ovarian,
ovarian_cancer_20A042178,ovarian,
ovarian_cancer_20A042198,ovarian,
ovarian_cancer_20A042206,ovarian,
ovarian_cancer_20A042207,ovarian,
ovarian_cancer_20A042209,ovarian,
ovarian_cancer_20A042216,ovarian,
ovarian_cancer_20A042269,ovarian,
ovarian_cancer_20A042270,ovarian,
ovarian_cancer_20A042274,ovarian,
ovarian_cancer_20A042275,ovarian,
ovarian_cancer_20A042276,ovarian,
ovarian_cancer_20A042277,ovarian,
ovarian_cancer_20A042280,ovarian,
ovarian_cancer_20A042281,ovarian,
ovarian_cancer_20A042283,ovarian,
ovarian_cancer_20A042284,ovarian,
ovarian_cancer_20A042295,ovarian,
ovarian_cancer_20A042297,ovarian,
ovarian_cancer_20A042310,ovarian,
ovarian_cancer_20A042314,ovarian,
ovarian_cancer_20A042320,ovarian,
ovarian_cancer_20A042323,ovarian,
ovarian_cancer_20A042327,ovarian,
ovarian_cancer_20A042328,ovarian,
ovarian_cancer_20A042332,ovarian,
ovarian_cancer_20A042336,ovarian,
ovarian_cancer_20A042337,ovarian,
ovarian_cancer_20A042339,ovarian,
ovarian_cancer_20A042348,ovarian,
ovarian_cancer_20A042385,ovarian,
ovarian_cancer_20A042389,ovarian,
ovarian_cancer_20A042401,ovarian,
ovarian_cancer_20A042428,ovarian,
ovarian_cancer_20A042447,ovarian,
ovarian_cancer_20A042454,ovarian,
ovarian_cancer_20A042455,ovarian,
ovarian_cancer_20A042461,ovarian,
ovarian_cancer_20A042463,ovarian,
ovarian_cancer_20A042466,ovarian,
ovarian_cancer_20A042468,ovarian,
ovarian_cancer_20A042479,ovarian,
ovarian_cancer_20A042510,ovarian,
ovarian_cancer_20A042552,ovarian,
ovarian_cancer_20A042553,ovarian,
ovarian_cancer_20A042570,ovarian,
ovarian_cancer_20A042576,ovarian,
pancreatic_cancer_20A041520,pancreatic,
pancreatic_cancer_20A041521,pancreatic,
pancreatic_cancer_20A041522,pancreatic,
pancreatic_cancer_20A041523,pancreatic,
pancreatic_cancer_20A041583,pancreatic,
pancreatic_cancer_20A041584,pancreatic,
pancreatic_cancer_20A041585,pancreatic,
pancreatic_cancer_20A041586,pancreatic,
pancreatic_cancer_20A041587,pancreatic,
pancreatic_cancer_20A041588,pancreatic,
pancreatic_cancer_20A041589,pancreatic,
pancreatic_cancer_20A041590,pancreatic,
pancreatic_cancer_20A041591,pancreatic,
pancreatic_cancer_20A041592,pancreatic,
pancreatic_cancer_20A041593,pancreatic,
pancreatic_cancer_20A041594,pancreatic,
pancreatic_cancer_20A041595,pancreatic,
pancreatic_cancer_20A041596,pancreatic,
pancreatic_cancer_20A041597,pancreatic,
pancreatic_cancer_20A041598,pancreatic,
pancreatic_cancer_20A041599,pancreatic,
pancreatic_cancer_20A041600,pancreatic,
pancreatic_cancer_20A041601,pancreatic,
pancreatic_cancer_20A041604,pancreatic,
pancreatic_cancer_20A041605,pancreatic,
pancreatic_cancer_20A041606,pancreatic,
pancreatic_cancer_20A041607,pancreatic,
pancreatic_cancer_20A041608,pancreatic,
pancreatic_cancer_20A041609,pancreatic,
pancreatic_cancer_20A041610,pancreatic,
pancreatic_cancer_20A041611,pancreatic,
pancreatic_cancer_20A041612,pancreatic,
pancreatic_cancer_20A041624,pancreatic,
pancreatic_cancer_20A041625,pancreatic,
pancreatic_cancer_20A041626,pancreatic,
pancreatic_cancer_20A041627,pancreatic,
pancreatic_cancer_20A041628,pancreatic,
pancreatic_cancer_20A041629,pancreatic,
pancreatic_cancer_20A041630,pancreatic,
pancreatic_cancer_20A041684,pancreatic,
pancreatic_cancer_20A041686,pancreatic,
pancreatic_cancer_20A041687,pancreatic,
pancreatic_cancer_20A041688,pancreatic,
pancreatic_cancer_20A041690,pancreatic,
pancreatic_cancer_20A041691,pancreatic,
stomach_cancer_20A042123,stomach,
stomach_cancer_20A042124,stomach,
stomach_cancer_20A042125,stomach,
stomach_cancer_20A042130,stomach,
stomach_cancer_20A042132,stomach,
stomach_cancer_20A042133,stomach,
stomach_cancer_20A042134,stomach,
stomach_cancer_20A042136,stomach,
stomach_cancer_20A042137,stomach,
stomach_cancer_20A042147,stomach,
stomach_cancer_20A042153,stomach,
stomach_cancer_20A042158,stomach,
stomach_cancer_20A042172,stomach,
stomach_cancer_20A042217,stomach,
stomach_cancer_20A042242,stomach,
stomach_cancer_20A042244,stomach,
stomach_cancer_20A042245,stomach,
stomach_cancer_20A042255,stomach,
stomach_cancer_20A042260,stomach,
stomach_cancer_20A042292,stomach,
stomach_cancer_20A042304,stomach,
stomach_cancer_20A042313,stomach,
stomach_cancer_20A042315,stomach,
stomach_cancer_20A042317,stomach,
stomach_cancer_20A042329,stomach,
stomach_cancer_20A042331,stomach,
stomach_cancer_20A042340,stomach,
stomach_cancer_20A042345,stomach,
stomach_cancer_20A042373,stomach,
stomach_cancer_20A042377,stomach,
stomach_cancer_20A042391,stomach,
stomach_cancer_20A042411,stomach,
stomach_cancer_20A042421,stomach,
stomach_cancer_20A042435,stomach,
stomach_cancer_20A042438,stomach,
stomach_cancer_20A042472,stomach,
stomach_cancer_20A042473,stomach,
stomach_cancer_20A042488,stomach,
stomach_cancer_20A042494,stomach,
stomach_cancer_20A042502,stomach,
stomach_cancer_20A042505,stomach,
stomach_cancer_20A042507,stomach,
stomach_cancer_20A042508,stomach,
stomach_cancer_20A042523,stomach,
stomach_cancer_20A042531,stomach,
stomach_cancer_20A042543,stomach,
stomach_cancer_20A042551,stomach,
stomach_cancer_20A042579,stomach,
stomach_cancer_20A042602,stomach,
stomach_cancer_20A042606,stomach,
thyroid_cancer_20A042142,thyroid,
thyroid_cancer_20A042183,thyroid,
thyroid_cancer_20A042191,thyroid,
thyroid_cancer_20A042199,thyroid,
thyroid_cancer_20A042213,thyroid,
thyroid_cancer_20A042219,thyroid,
thyroid_cancer_20A042252,thyroid,
thyroid_cancer_20A042273,thyroid,
thyroid_cancer_20A042287,thyroid,
thyroid_cancer_20A042288,thyroid,
thyroid_cancer_20A042296,thyroid,
thyroid_cancer_20A042316,thyroid,
thyroid_cancer_20A042322,thyroid,
thyroid_cancer_20A042325,thyroid,
thyroid_cancer_20A042330,thyroid,
thyroid_cancer_20A042396,thyroid,
thyroid_cancer_20A042398,thyroid,
thyroid_cancer_20A042400,thyroid,
thyroid_cancer_20A042420,thyroid,
thyroid_cancer_20A042423,thyroid,
thyroid_cancer_20A042456,thyroid,
thyroid_cancer_20A042457,thyroid,
thyroid_cancer_20A042485,thyroid,
thyroid_cancer_20A042497,thyroid,
thyroid_cancer_20A042517,thyroid,
thyroid_cancer_20A042520,thyroid,
thyroid_cancer_20A042532,thyroid,
thyroid_cancer_20A042540,thyroid,
thyroid_cancer_20A042546,thyroid,
thyroid_cancer_20A042547,thyroid,
thyroid_cancer_20A042549,thyroid,
thyroid_cancer_20A042554,thyroid,
thyroid_cancer_20A042561,thyroid,
thyroid_cancer_20A042567,thyroid,
thyroid_cancer_20A042568,thyroid,
thyroid_cancer_20A042569,thyroid,
thyroid_cancer_20A042580,thyroid,
thyroid_cancer_20A042581,thyroid,
thyroid_cancer_20A042590,thyroid,
thyroid_cancer_20A042593,thyroid,
thyroid_cancer_20A042595,thyroid,
thyroid_cancer_20A042597,thyroid,
thyroid_cancer_20A042600,thyroid,
thyroid_cancer_20A042601,thyroid,
thyroid_cancer_20A042621,thyroid,
thyroid_cancer_20A042628,thyroid,
normal_20A040464,normal,
normal_20A040465,normal,
normal_20A040466,normal,
normal_20A040467,normal,
normal_20A040473,normal,
normal_20A040475,normal,
normal_20A040476,normal,
normal_20A040478,normal,
normal_20A040479,normal,
normal_20A040480,normal,
normal_20A040536,normal,
normal_20A040537,normal,
normal_20A040538,normal,
normal_20A040539,normal,
normal_20A040540,normal,
normal_20A040541,normal,
normal_20A040544,normal,
normal_20A040545,normal,
normal_20A040546,normal,
normal_20A040548,normal,
normal_20A040549,normal,
normal_20A040550,normal,
normal_20A040551,normal,
normal_20A040552,normal,
normal_20A040553,normal,
normal_20A040558,normal,
normal_20A040559,normal,
normal_20A040560,normal,
normal_20A040561,normal,
normal_20A040564,normal,
normal_20A040568,normal,
normal_20A040570,normal,
normal_20A040571,normal,
normal_20A040574,normal,
normal_20A040575,normal,
normal_20A040576,normal,
normal_20A040577,normal,
normal_20A041485,normal,
normal_20A041486,normal,
normal_20A041487,normal,
normal_20A041488,normal,
normal_20A041495,normal,
normal_20A041496,normal,
normal_20A041692,normal,
normal_20A041693,normal,
normal_20A041694,normal,
normal_20A041695,normal,
normal_20A041713,normal,
normal_20A041714,normal,
normal_20A041715,normal,
normal_20A041716,normal,
normal_20A041718,normal,
normal_20A041719,normal,
normal_20A041720,normal,
normal_20A041721,normal,
normal_20A041774,normal,
normal_20A041775,normal,
